,Undergraduate Major,Annual Payment First 10YR,Starting Median Salary,Average Percent Of Salary,Major Type,Available Investments,Retirement Savings In 10 Years,1,2,3,4,5,6,7,8,9,10
3,Anthropology,2831.0718232044196,36800.0,7.6931299543598355,"Literature, Language, and Social Science Majors",2688.9281767955804,42445.759852608564,2688.9281767955804,5641.371314917127,8883.153880574586,12442.631137666474,16350.937165953368,20642.25718501238,25354.126565939172,30527.75914619679,36208.40771931966,42445.759852608564
11,Communications,2935.304347826087,38100.0,7.704210886682643,"Literature, Language, and Social Science Majors",2779.695652173913,43878.5591722719,2779.695652173913,5831.80147826087,9183.013675304348,12862.644667658085,16902.87949726249,21339.057340168125,26209.980611678515,31558.25436379692,37430.65894362293,43878.5591722719
47,Sociology,2943.6206896551726,36500.0,8.06471421823335,"Literature, Language, and Social Science Majors",2531.3793103448274,39958.79072932441,2531.3793103448274,5310.8337931034475,8362.674815172413,11713.596257404137,15392.90800097457,19432.792295414903,23868.585250710392,28739.085915624837,34086.8956457009,39958.79072932441
16,Drama,2929.326315789474,35900.0,8.1596833308899,Arts-Related Majors,2455.673684210526,38763.74846150998,2455.673684210526,5152.003389473684,8112.573405852632,11363.279283836715,14932.55433786324,18851.618347184365,23154.75062941896,27879.589875312544,33067.463367303695,38763.74846150998
4,Architecture,3396.5581395348836,41600.0,8.164803220035779,Arts-Related Majors,2843.441860465116,44884.81745465831,2843.441860465116,5965.541023255813,9393.605903999998,13157.621143057115,17290.509875541826,21828.42170381004,26811.048891248538,32281.97354305601,38289.04881074061,44884.81745465831
34,Journalism,2932.258064516129,35600.0,8.236679956505979,"Literature, Language, and Social Science Majors",2407.7419354838717,38007.12747277399,2407.7419354838717,5051.442580645163,7954.225889032261,11141.481961641293,14641.089129366012,18483.65779952775,22702.79819936534,27335.414358387017,32422.026900992816,38007.12747277399
32,Interior Design,3001.714285714286,36100.0,8.314998021369213,Arts-Related Majors,2413.285714285714,38094.63814179432,2413.285714285714,5063.073428571428,7972.540338857141,11167.135006350854,14674.799951258952,18526.216060768045,22755.070949009027,27398.353616297627,32496.67798498051,38094.63814179432
7,Business Management,3603.7987421383646,43000.0,8.380927307298522,Business-Related Majors,2846.2012578616354,44928.37559810049,2846.2012578616354,5971.330238993711,9402.72186027673,13170.389860445484,17307.289324630776,21849.604936306227,26837.06747792587,32313.301348624238,38326.20613865105,44928.37559810049
45,Psychology,3039.781420765027,35900.0,8.467357718008433,"Literature, Language, and Social Science Majors",2345.2185792349724,37020.17237764665,2345.2185792349724,4920.268579234972,7747.673479234973,10852.164059434972,14260.894716494571,18003.680977946013,22113.260293019695,26625.5783809706,31580.103641540692,37020.17237764665
39,Music,3084.894736842105,35900.0,8.593021551092214,Arts-Related Majors,2300.105263157895,36308.04142640479,2300.105263157895,4825.620842105263,7598.636947789474,10643.408631830738,13986.567940908046,17657.35686227493,21687.883097935766,26113.400904691363,30972.61945650901,36308.04142640479
40,Nursing,4668.0,54200.0,8.612546125461254,Science and Math-Related Majors,3462.0000000000005,54648.99430108587,3462.0000000000005,7263.276000000002,11437.077048000003,16019.910598704004,21051.861837376997,26576.944297439943,32643.48483858906,39304.54635277078,46618.39189534232,54648.99430108587
18,Education,3034.6451612903224,34900.0,8.695258341806083,"Literature, Language, and Social Science Majors",2200.354838709677,34733.442819471944,2200.354838709677,4616.344451612902,7269.101046580644,10181.827787855225,13380.001749774714,16891.596759962315,20747.3280811483,24980.92107181051,29629.40617555762,34733.442819471944
5,Art History,3161.25,35800.0,8.830307262569832,Arts-Related Majors,2208.75,34865.96365179763,2208.75,4633.9575,7296.835335000001,10220.675197830002,13431.051367217342,16956.044401204643,20826.4867525227,25076.232454269924,29742.453234788376,34865.96365179763
21,Film,3446.4905660377362,37900.0,9.093642654453129,Arts-Related Majors,2238.509433962264,35335.727700615455,2238.509433962264,4696.392792452831,7395.148720075473,10358.382728605133,13612.0136699707,17184.500443590092,21107.090921024184,25414.09526524682,30143.18603520327,35335.727700615455
46,Religion,3107.5999999999995,34100.0,9.113196480938415,"Literature, Language, and Social Science Majors",2007.4000000000005,31687.57688041589,2007.4000000000005,4211.525200000001,6631.654669600001,9288.956827220802,12206.674596288442,15410.328706724711,18927.940919983736,22790.279130142142,27031.126484896075,31687.57688041589
19,Electrical Engineering,5638.763636363636,60900.0,9.259053590088072,Engineering and Technology Majors,3496.236363636364,55189.42839734627,3496.236363636364,7335.103890909091,11550.180435854547,16178.334482204657,21260.047625097075,26839.76865599295,32966.30234791662,39693.236341648815,47079.409866766764,55189.42839734627
26,Graphic Design,3572.326530612245,35700.0,10.006516892471275,Arts-Related Majors,1782.6734693877547,28140.182631215594,1782.6734693877547,3740.0489387755097,5889.2472041632645,8249.066899559019,10840.148925103558,13685.156989151463,16808.97584347606,20238.92894552447,24005.01745157362,28140.182631215594
15,Criminal Justice,3775.888111888112,35000.0,10.788251748251747,"Literature, Language, and Social Science Majors",1474.1118881118884,23269.420038298533,1474.1118881118884,3092.6867412587417,4869.881930013987,6821.242247267245,8963.835875611325,11316.403679533123,13899.523128239258,16735.788282918595,19850.007422756506,23269.420038298533
